,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1960,,,,,,,,,,,,,
1,Are You Lonesome Tonight,Elvis Presley,Blues,1960,C Major,73,7,43,-19.35,11,19,3:06,92,5
2,It’s Now Or Never,Elvis Presley,Rock,1960,E Major,126,73,66,-7.31,22,93,3:08,4,3
3,The Twist,Chubby Checker,Pop,1960,G# Major,168,71,60,-6.38,6,91,2:17,10,16
4,Theme From ‘A Summer Place’,Percy Faith,Jazz,1960,C Major,186,41,34,-10.80,50,86,2:19,49,3
5,Marina,Rocco Granata,Pop,1959,G Major,103,42,66,-14.27,7,89,2:46,57,4
6,Cathy’s Clown,The Everly Brothers,Pop,1957,G Major,120,54,51,-11.39,14,89,2:24,58,3
7,Save The Last Dance For Me,The Drifters,Blues,1960,E Major,143,37,57,-16.06,32,83,2:34,49,4
8,Wonderful World,Same Cooke,Soul,1960,B Major,129,51,69,-10.23,46,89,2:05,63,3
9,Only The Lonely (Know The Way I Feel),Roy Orbison,Rock,1960,F Major,116,59,54,-12.98,95,73,2:26,20,7
10,I’m Sorry,Brenda Lee ,Country,1960,Bb Major,104,30,57,-7.66,14,34,2:35,92,3
,1961,,,,,,,,,,,,,
1,Stand By Me,Ben E King,Soul,1961,A Major,118,31,65,-9.44,7,61,3:00,57,4
2,Let’s Twist Again,Chubby Checker,Pop,1961,G# Major,168,71,71,-6.38,6,91,2:17,10,16
3,Surrender,Elvis Presley,Rock,1961,Eb Major,83,67,45,-8.19,28,89,1:54,76,4
4,Runaway,Del Shannon,Country,1961,Bb Minor,79,53,59,-7.99,17,73,2:17,15,4
5,Micheal Row The Boat,Highwaymen,Country,1960,C Major,107,12,53,-19.45,19,63,2:45,86,3
6,Blue Moon,The Marcels,Rock,1961,G Major,128,44,59,-9.66,8,90,2:17,67,4
7,Hello Mary Lou,Ricky Nelson,Country,1961,A Major,99,63,60,-9.76,6,93,2:18,50,3
8,Wooden Heart,Elvis Presley,Rock,1960,Eb Major,81,23,76,-12.75,4,83,2:01,78,5
9,Crying,Roy Orbison,Rock,1961,D Major,97,29,35,-9.50,10,16,2:46,76,3
10,"Hit The Road, Jack",Ray Charles,Soul,1960,G# Minor,173,57,60,-12.62,51,96,1:59,70,14
,1962,,,,,,,,,,,,,
1,I Can’t Stop Loving You,Ray Charles,Soul,1962,F Major,79,28,31,-13.55,32,38,4:16,82,3
2,Speedy Gonzalez,Pat Boone,Rock,1962,B Major,147,75,58,-5.50,12,84,2:29,91,6
3,Telstar,The Tornados,Rock,1962,A Major,145,67,31,-10.11,36,77,3:18,4,4
4,Return To Sender,Elvis Presley,Rock,1062,G# Major,132,62,84,-6.50,8,97,2:08,58,4
5,Can’t Help Falling In Love,Elvis Presley,Country,1961,D Major,67,37,49,-15.93,11,23,3:19,89,3
6,Good Luck Charm,Elvis Presley,Soul,1962,D Major,121,53,62,-9.83,51,79,2:25,62,4
7,The Loco-Motion,Little Eva,Soul,1962,Eb Major,130,93,64,-4.09,18,89,2:26,70,5
8,Let’s Dance,Chris Montez,Rock,1959,C# Major,153,84,73,-7.75,32,96,2:26,39,10
